player_id,player_name,fargo_rating,rating_status,latest_handicap,handicap_starttime,handicap_tournament_id,games,wins,losses,component
52797052,Aurora-Maria W. Gonzalez-Cordova,1854.74,anchored,,,,4,4,0,1
4759047,Geir Anfinsen,1685.78,anchored,,,,4,4,0,1
1006150,BArild Sørum,1602.8,anchored,78.0,2018-08-22T16:15:00Z,2891870,12,9,3,1
9981040,Thomas Andre,1596.72,anchored,,,,8,6,2,1
9981874,vibeke oslo bk,1596.72,anchored,,,,8,6,2,1
1384599,Hamid Alizadeh,1528.92,anchored,2.0,2019-07-24T16:00:00Z,6015793,8,3,5,1
1006318,Jonas Kvalsund Hansen,1503.56,anchored,2.0,2019-08-30T14:00:00Z,5976158,2,2,0,1
83723041,Luka Bugarski,898.78,anchored,,,,26,21,5,1
1514994,Thomas Kirsch,870.28,anchored,,,,25,20,5,1
1916867,Christian Sparrenlöv Fischer,862.23,anchored,0.0,2019-08-30T14:00:00Z,5976158,27,23,4,1
18119206,Julia Babica,861.86,anchored,450.0,2026-06-15T16:00:00Z,83685481,8,5,3,1
7114931,Håkon Haukebøe,837.58,anchored,14.0,2021-08-18T16:00:00Z,9153444,14,13,1,1
1010312,Mikael Øgaard,807.21,anchored,678.0,2026-03-04T17:00:00Z,77583133,186,143,43,1
7932294,Morten Børja,789.83,anchored,,,,19,14,5,1
36694312,David Slacek,789.32,anchored,,,,8,6,2,1
2298198,Kenneth Mydland,775.68,anchored,1.0,2024-12-27T11:00:00Z,52314610,28,20,8,1
34778635,Wiktor Kaczmarek,771.1,anchored,550.0,2026-06-15T16:00:00Z,83685481,17,13,4,1
1290151,Imran Majid,759.11,anchored,0.0,2019-08-30T14:00:00Z,5976158,41,24,17,1
1006194,Dag-jøran Aralden,740.43,anchored,,,,14,11,3,1
9287997,Bengt Bårdsen,738.37,anchored,,,,29,19,10,1
1161937,Ivo Aarts,738.35,anchored,121.0,2019-05-22T16:10:00Z,5399876,16,10,6,1
1084127,Simen Ekern Bakken,737.17,anchored,2.0,2024-12-27T11:00:00Z,52314610,17,12,5,1
8532632,Eddie Vonderau,734.43,anchored,,,,16,13,3,1
1160318,Niels Feijen,727.96,anchored,0.0,2019-08-30T14:00:00Z,5976158,121,73,48,1
1072290,Fedor Gorst,726.04,anchored,0.0,2019-08-30T14:00:00Z,5976158,96,55,41,1
6186620,Wiktor Zieliński,723.39,anchored,0.0,2019-08-30T14:00:00Z,5976158,104,57,47,1
